Attr,Top 3 Highest,Top 3 Lowest
matches_played,"Top 1: Guglielmo Vicario(Team: Tottenham)
Top 2: James Tarkowski(Team: Everton)
Top 3: Dominic Solanke(Team: Bournemouth)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
starts,"Top 1: Guglielmo Vicario(Team: Tottenham)
Top 2: James Tarkowski(Team: Everton)
Top 3: William Saliba(Team: Arsenal)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
minutes,"Top 1: Guglielmo Vicario(Team: Tottenham)
Top 2: William Saliba(Team: Arsenal)
Top 3: Jordan Pickford(Team: Everton)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
non_penalty_goals,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Ollie Watkins(Team: Aston Villa)
Top 3: Phil Foden(Team: Manchester City)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
penalty_goals,"Top 1: Cole Palmer(Team: Chelsea)
Top 2: Erling Haaland(Team: Manchester City)
Top 3: Bukayo Saka(Team: Arsenal)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
assists,"Top 1: Ollie Watkins(Team: Aston Villa)
Top 2: Cole Palmer(Team: Chelsea)
Top 3: Martin Ødegaard(Team: Arsenal)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tosin Adarabioyo(Team: Fulham)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
yellow_cards,"Top 1: Marcos Senesi(Team: Bournemouth)
Top 2: João Palhinha(Team: Fulham)
Top 3: Douglas Luiz(Team: Aston Villa)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
red_cards,"Top 1: Oliver McBurnie(Team: Sheffield Utd)
Top 2: Reece James(Team: Chelsea)
Top 3: Yves Bissouma(Team: Tottenham)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tosin Adarabioyo(Team: Fulham)"
xG,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Mohamed Salah(Team: Liverpool)
Top 3: Alexander Isak(Team: Newcastle Utd)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
npxG,"Top 1: Erling Haaland(Team: Manchester City)
Top 2: Nicolas Jackson(Team: Chelsea)
Top 3: Dominic Solanke(Team: Bournemouth)","Top 1 from bottom: Joshua Acheampong(Team: Chelsea)
Top 2 from bottom: : Tyler Adams(Team: Bournemouth)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
